Country/Region,Downloads
Anguilla,1
Armenia,1
Brunei Darussalam,1
Bahamas,1
Democratic Republic Of Congo,1
Djibouti,1
Guadeloupe,1
Saint Kitts And Nevis,1
Cayman Islands,1
Mauritius,1
Mozambique,1
Norfolk Island,1
Qatar,1
Suriname,1
Syrian Arab Republic,1
Togo,1
"Timor-Leste, Democratic Republic of",1
Turkmenistan,1
Virgin Islands (US),1
Samoa,1
Botswana,2
Republic Of Congo,2
Cabo Verde,2
Dominica,2
Eritrea,2
Haiti,2
Kuwait,2
Mali,2
Mongolia,2
Niger,2
French Polynesia,2
Reunion,2
Sudan,2
Swaziland,2
Tajikistan,2
Benin,3
Cuba,3
French Guiana,3
Gambia,3
Iceland,3
Saint Lucia,3
Moldova,3
"Macedonia, The Former Yugoslav Republic Of",3
New Caledonia,3
Nicaragua,3
Puerto Rico,3
Somalia,3
El Salvador,3
Saint Vincent And The Grenadines,3
Yemen,3
Bosnia & Herzegovina,4
Kyrgyzstan,4
Luxembourg,4
Mauritania,4
Malawi,4
Papua New Guinea,4
Seychelles,4
Barbados,5
Guinea,5
Guatemala,5
"Lao People's Democratic Republic",5
Namibia,5
Belize,6
Curacao,6
Cyprus,6
Cambodia,6
Latvia,6
Montenegro,6
Slovenia,6
Afghanistan,7
Dominican Republic,7
Gabon,7
Madagascar,7
Cameroon,8
Jamaica,8
Lesotho,8
Libya,8
Trinidad And Tobago,8
Zambia,8
Belarus,9
"Côte d'Ivoire",9
Georgia,9
Palestinian Territories,9
Senegal,9
"Tanzania, United Republic Of",9
Zimbabwe,9
Honduras,10
Lebanon,10
Myanmar,10
Oman,10
Rwanda,10
Slovakia,10
Tunisia,10
Bahrain,11
Panama,11
"Bolivia, Plurinational State Of",12
Costa Rica,12
Croatia,12
Jordan,12
Serbia,12
Angola,13
Estonia,13
Hungary,13
Uganda,14
Uruguay,14
Burkina Faso,15
Bulgaria,15
Albania,16
Kazakhstan,16
Israel,17
Sri Lanka,17
Czech Republic,18
Ethiopia,19
Belgium,20
Nepal,20
"Venezuela, Bolivarian Republic Of",20
Azerbaijan,21
Paraguay,21
Uzbekistan,21
Saudi Arabia,25
Portugal,26
United Arab Emirates,28
Chile,28
Algeria,28
Greece,28
Lithuania,28
Finland,29
Kenya,31
Norway,35
Ghana,37
Austria,38
Denmark,38
"Iran, Islamic Republic Of",38
Switzerland,39
Sweden,41
Morocco,44
Ukraine,44
Egypt,45
New Zealand,49
Poland,50
Taiwan,52
Peru,53
Romania,58
Ecuador,59
Bangladesh,60
Iraq,61
South Africa,67
Argentina,71
Nigeria,71
Spain,78
Ireland,95
Pakistan,101
Malaysia,106
Colombia,109
Australia,120
Mexico,127
Turkey,136
Italy,137
Netherlands,143
Russian Federation,149
Japan,151
France,168
Thailand,179
"Korea, Republic Of",192
Hong Kong,247
Philippines,250
Canada,274
Viet Nam,296
Germany,305
Indonesia,320
United Kingdom,415
India,584
Singapore,957
China,1033
Brazil,1425
United States,7212
