Country/Region,Downloads
United States,358
Poland,117
Germany,29
United Kingdom,28
India,27
Mexico,22
Spain,20
Canada,15
China,12
Brazil,11
France,9
Netherlands,9
Australia,8
Greece,8
Taiwan,8
Switzerland,7
Italy,7
Russian Federation,7
Philippines,6
Pakistan,5
Sweden,5
Turkey,5
South Africa,5
Colombia,4
Malaysia,4
Saudi Arabia,4
Bulgaria,3
Chile,3
Ecuador,3
Indonesia,3
Israel,3
"Iran, Islamic Republic Of",3
"Korea, Republic Of",3
Nigeria,3
"Bolivia, Plurinational State Of",2
Estonia,2
Croatia,2
Japan,2
New Zealand,2
Panama,2
Portugal,2
Sudan,2
Viet Nam,2
United Arab Emirates,1
Argentina,1
Austria,1
Bangladesh,1
Brunei Darussalam,1
Democratic Republic Of Congo,1
Denmark,1
Egypt,1
Ghana,1
Hungary,1
Ireland,1
Jordan,1
Kenya,1
Cambodia,1
Lebanon,1
Luxembourg,1
Morocco,1
Moldova,1
Mauritius,1
Oman,1
Peru,1
Qatar,1
Romania,1
Serbia,1
Thailand,1
Ukraine,1
