Country/Region,Downloads
Andorra,1
Antigua And Barbuda,1
Angola,1
Burkina Faso,1
Bahrain,1
Benin,1
Democratic Republic Of Congo,1
"Côte d'Ivoire",1
Dominica,1
"Micronesia, Federated States Of",1
Guam,1
Guyana,1
Liberia,1
Moldova,1
Montenegro,1
Myanmar,1
Puerto Rico,1
Paraguay,1
Suriname,1
Syrian Arab Republic,1
Tajikistan,1
Afghanistan,2
Anguilla,2
Brunei Darussalam,2
"Bolivia, Plurinational State Of",2
Botswana,2
Belarus,2
Cuba,2
Estonia,2
Haiti,2
Jamaica,2
Kyrgyzstan,2
Malawi,2
Namibia,2
Palestinian Territories,2
Sudan,2
Somalia,2
Georgia,3
Guatemala,3
Honduras,3
"Macedonia, The Former Yugoslav Republic Of",3
Mongolia,3
Norfolk Island,3
Panama,3
Rwanda,3
Slovenia,3
Slovakia,3
Albania,4
Dominican Republic,4
Cambodia,4
Latvia,4
Qatar,4
Bosnia & Herzegovina,5
Cameroon,5
Croatia,5
Lithuania,5
Libya,5
Oman,5
El Salvador,5
Trinidad And Tobago,5
Armenia,6
Bhutan,6
Cyprus,6
Yemen,6
Jordan,7
Malta,7
Mauritius,7
Tunisia,7
Zambia,7
Costa Rica,8
Argentina,9
Czech Republic,11
Kuwait,11
Uzbekistan,11
Austria,13
Chile,13
Kazakhstan,13
Sri Lanka,13
"Venezuela, Bolivarian Republic Of",13
Serbia,15
Iraq,16
Ecuador,17
Finland,17
Hungary,17
Israel,18
Morocco,18
"Tanzania, United Republic Of",18
Zimbabwe,18
Bulgaria,20
Greece,20
Lebanon,21
Uganda,22
Azerbaijan,23
Romania,23
Algeria,24
Nepal,24
Ukraine,24
Norway,25
Saudi Arabia,25
Belgium,27
Switzerland,27
Ghana,27
Peru,27
Egypt,29
Viet Nam,29
United Arab Emirates,36
Thailand,38
Ethiopia,39
South Africa,41
"Iran, Islamic Republic Of",42
Taiwan,43
Kenya,49
Sweden,53
Bangladesh,56
Denmark,56
New Zealand,56
Poland,57
Japan,62
Spain,65
"Korea, Republic Of",65
Netherlands,72
Portugal,72
Ireland,73
Russian Federation,75
Hong Kong,84
Brazil,87
Malaysia,87
Mexico,96
Indonesia,100
Turkey,100
Italy,110
France,116
Nigeria,118
Pakistan,132
Australia,137
Colombia,153
Germany,160
Philippines,168
China,204
Canada,236
United Kingdom,293
Singapore,455
India,620
United States,4161
